id_mmpp,Plazo de entrega,Stock de seguridad
3_mmpp_70,20,800.0
3_mmpp_71,20,7000.0
3_mmpp_72,20,600.0
3_mmpp_74,20,0.0
3_mmpp_75,20,0.0
3_mmpp_78,20,144.0
3_mmpp_79,25,0.0
3_mmpp_8,7,5500.0
3_mmpp_80,35,20000.0
3_mmpp_81,20,0.0
3_mmpp_82,15,6.0
3_mmpp_83,25,500.0
3_mmpp_84,25,200.0
3_mmpp_85,20,700.0
3_mmpp_86,10,9600.0
3_mmpp_87,42,480.0
3_mmpp_88,14,270000.0
3_mmpp_89,45,500.0
3_mmpp_9,28,60000.0
3_mmpp_90,75,380.0
3_mmpp_91,21,1800.0
3_mmpp_93,15,500.0
3_mmpp_95,15,20000.0
3_mmpp_98,45,14000.0
3_mmpp_99,10,5000.0
40_mmpp_103,14,75000.0
40_mmpp_141,10,0.0
40_mmpp_145,42,0.0
40_mmpp_146,7,0.0
40_mmpp_147,7,0.0
40_mmpp_148,20,0.0
40_mmpp_15,1,0.0
40_mmpp_17,1,0.0
40_mmpp_25,20,2000000.0
40_mmpp_348,10,0.0
40_mmpp_373,10,400.0
40_mmpp_374,10,1000.0
40_mmpp_40,15,250.0
40_mmpp_41,15,250.0
40_mmpp_82,20,50.0
42_mmpp_103,14,75000.0
